country,conscont,condemo,presid,newdemo,rigcons
Australia,0.33,0.33,0,0.33,0.83
Austria,0.33,0.5,0.5,0.33,0.67
Bangladesh,0.33,0.17,0.17,1,0.67
Belgium,0.17,1,0,0.17,0.67
Botswana,0,0,1,0.67,0.17
Bulgaria,0.67,0.5,0,1,0.17
Canada,0.33,0.17,0,0.17,0.83
Czech Republic,0.5,0.5,0.83,1,0.17
Denmark,0.5,0.83,0,0.17,0.5
Estonia,0.67,0.83,0.33,1,0.17
Finland,0.17,0.83,0.67,0.33,0.67
France V,0,0.67,0.5,0.67,0.5
Germany,0.67,0.5,0.17,0.5,0.83
Greece,0.5,0.33,0.67,0.83,0.5
Guyana,0.17,0,0.33,0.67,0.67
Hungary,1,0.67,0,1,0.33
Iceland,0.17,0.67,0.83,0.33,0
India,0.33,0.33,0.5,0.5,0.67
Ireland,0.5,0.33,0,0.33,0.5
Israel,0.83,1,0,0.5,0
Italy,0.67,1,0.67,0.5,0.33
Jamaica,0.33,0,0,0.67,0.67
Japan,0.33,0.17,0,0.5,1
Latvia,0.83,0.83,0.17,1,0.67
Lithuania,0.17,0.33,0.33,1,0.33
Luxembourg,0.5,0.67,0,0.17,0.33
Macedonia,1,0.5,0,1,0.67
Malta,0.33,0,0.17,0.83,0.33
Namibia,0.17,0,0.83,1,0.33
Netherlands,0.5,0.83,0,0.17,0.67
New Zealand,0.17,0.67,0,0.17,0
Norway,0.5,0.67,0,0.17,0.67
Pakistan,0,0.17,1,0.83,1
Poland,0.5,0.5,0.5,1,0.33
Portugal,0.5,0.17,0.67,0.83,0.67
Romania,0.5,0.83,0.33,1,1
Russian Federation,0.5,,1,1,0.33
Slovakia,0.67,0.83,0.83,1,0.17
Slovenia,0.33,0.83,0.5,1,0.17
South Africa,0.5,0,0.67,1,0.67
Spain,0.5,0.33,0,0.83,0.33
Sri Lanka,0.17,0.33,1,0.83,0.33
Sweden,0.5,0.67,0,0.17,0
Turkey,0.17,0.5,0.17,0.83,1
United Kingdom,0.17,0,0,0,0
