Year,C_expenditure,Yd_income,W_wealth,Interest
1947,976.4,1035.2,5166.815,-10.35094
1948,998.1,1090,5280.757,-4.719804
1949,1025.3,1095.6,5607.351,1.044063
1950,1090.9,1192.7,5759.515,0.407346
1951,1107.1,1227,6086.056,-5.283152
1952,1142.4,1266.8,6243.864,-0.277011
1953,1197.2,1327.5,6355.613,0.561137
1954,1221.9,1344,6797.027,-0.138476
1955,1310.4,1433.8,7172.242,0.261997
1956,1348.8,1502.3,7375.18,-0.736124
1957,1381.8,1539.5,7315.286,-0.260683
1958,1393,1553.7,7869.975,-0.57463
1959,1470.7,1623.8,8188.054,2.295943
1960,1510.8,1664.8,8351.757,1.511181
1961,1541.2,1720,8971.872,1.296432
1962,1617.3,1803.5,9091.545,1.395922
1963,1684,1871.5,9436.097,2.057616
1964,1784.8,2006.9,10003.4,2.026599
1965,1897.6,2131,10562.81,2.111669
1966,2006.1,2244.6,10522.04,2.020251
1967,2066.2,2340.5,11312.07,1.212616
1968,2184.2,2448.2,12145.41,1.054986
1969,2264.8,2524.3,11672.25,1.732154
1970,2317.5,2630,11650.04,1.166228
1971,2405.2,2745.3,12312.92,-0.712241
1972,2550.5,2874.3,13499.92,-0.155737
1973,2675.9,3072.3,13080.96,1.413839
1974,2653.7,3051.9,11868.79,-1.042571
1975,2710.9,3108.5,12634.36,-3.533585
1976,2868.9,3243.5,13456.78,-0.656766
1977,2992.1,3360.7,13786.31,-1.190427
1978,3124.7,3527.5,14450.5,0.113048
1979,3203.2,3628.6,15340,1.70421
1980,3193,3658,15964.95,2.298496
1981,3236,3741.1,15964.99,4.703847
1982,3275.5,3791.7,16312.51,4.449027
1983,3454.3,3906.9,16944.85,4.690972
1984,3640.6,4207.6,17526.75,5.848332
1985,3820.9,4347.8,19068.35,4.330504
1986,3981.2,4486.6,20530.04,3.768031
1987,4113.4,4582.5,21235.69,2.819469
1988,4279.5,4784.1,22331.99,3.287061
1989,4393.7,4906.5,23659.8,4.317956
1990,4474.5,5014.2,23105.13,3.595025
1991,4466.6,5033,24050.21,1.802757
1992,4594.5,5189.3,24418.2,1.007439
1993,4748.9,5261.3,25092.33,0.62479
1994,4928.1,5397.2,25218.6,2.206002
1995,5075.6,5539.1,27439.73,3.333143
1996,5237.5,5677.7,29448.19,3.083201
1997,5423.9,5854.5,32664.07,3.12
1998,5683.7,6168.6,35587.02,3.583909
1999,5968.4,6320,39591.26,3.245271
2000,6257.8,6539.2,38167.72,3.57597
